NThreads,Average_Time_Per_Thread(ms),Time(ms)
1,0.072956,0.072956
2,0.048995,0.097990
4,0.038505,0.154018
6,0.034491,0.206947
8,0.027508,0.220060
10,0.025415,0.254154
12,0.027339,0.328064
14,0.026856,0.375986
16,0.023618,0.377893
18,0.024716,0.444889
20,0.156391,3.127813
22,0.030453,0.669956
24,0.030249,0.725985
26,0.076844,1.997948
28,0.028355,0.793934
30,0.028769,0.863075
32,0.034779,1.112938
34,0.026149,0.889063
36,0.021060,0.758171
38,0.025053,0.952005
40,0.025421,1.016855
42,0.027236,1.143932
44,0.024953,1.097918
46,0.026672,1.226902
48,0.027185,1.304865
50,0.028138,1.406908
52,0.024846,1.291990
54,0.025595,1.382113
56,0.025979,1.454830
58,0.027393,1.588821
60,0.027351,1.641035
62,0.023307,1.445055
64,0.036299,2.323151
