MutualExclusion,NThreads,val_a,val_b,nRectangles/Sub-Intervals,Result
./trap_busywaiting,1,20.000000,40.000000,2,0.000000
./trap_busywaiting,1,20.000000,40.000000,2,0.000000
./trap_busywaiting,1,20.000000,40.000000,2,0.000000
./trap_busywaiting,1,20.000000,40.000000,2,0.000000
./trap_busywaiting,1,20.000000,40.000000,2,0.000000
./trap_busywaiting,2,20.000000,40.000000,2,12500.000000
./trap_busywaiting,2,20.000000,40.000000,2,12500.000000
./trap_busywaiting,2,20.000000,40.000000,2,12500.000000
./trap_busywaiting,2,20.000000,40.000000,2,12500.000000
./trap_busywaiting,2,20.000000,40.000000,2,12500.000000
./trap_busywaiting,4,20.000000,40.000000,2,12000.000000
./trap_busywaiting,4,20.000000,40.000000,2,12000.000000
./trap_busywaiting,4,20.000000,40.000000,2,12000.000000
./trap_busywaiting,4,20.000000,40.000000,2,12000.000000
./trap_busywaiting,4,20.000000,40.000000,2,12000.000000
./trap_busywaiting,6,20.000000,40.000000,2,20000.000000
./trap_busywaiting,6,20.000000,40.000000,2,20000.000000
./trap_busywaiting,6,20.000000,40.000000,2,44000.000000
./trap_busywaiting,6,20.000000,40.000000,2,20000.000000
./trap_busywaiting,6,20.000000,40.000000,2,20000.000000
./trap_busywaiting,8,20.000000,40.000000,2,28000.000000
./trap_busywaiting,8,20.000000,40.000000,2,60000.000000
./trap_busywaiting,8,20.000000,40.000000,2,28000.000000
./trap_busywaiting,8,20.000000,40.000000,2,28000.000000
./trap_busywaiting,8,20.000000,40.000000,2,28000.000000
./trap_busywaiting,10,20.000000,40.000000,2,36000.000000
./trap_busywaiting,10,20.000000,40.000000,2,36000.000000
./trap_busywaiting,10,20.000000,40.000000,2,36000.000000
./trap_busywaiting,10,20.000000,40.000000,2,36000.000000
./trap_busywaiting,10,20.000000,40.000000,2,36000.000000
